"","labels","edge_id","mean_change_daily"
"1",1,16608,0.00113537902271878
"2",1,472738,0.00113537902271878
"3",1,859440,0.00113537902271878
"4",1,861145,0.00113537902271878
"5",1,862173,0.00113537902271878
"6",1,21624,0.00113537902271878
"7",1,431744,0.00113537902271878
"8",1,1009276,0.00113537902271878
"9",1,635433,0.00113537902271878
"10",1,703962,0.00113537902271878
"11",1,573790,0.00113537902271878
"12",1,403828,0.00113537902271878
"13",1,964279,0.00113537902271878
"14",1,130122,0.00113537902271878
"15",1,17799,0.00113537902271878
"16",1,456358,0.00113537902271878
"17",1,862174,0.00113537902271878
"18",1,673753,0.00113537902271878
"19",1,658545,0.00113537902271878
"20",1,16607,0.00113537902271878
"21",1,754516,0.00113537902271878
"22",1,989957,0.00113537902271878
"23",1,884921,0.00113537902271878
"24",1,130128,0.00113537902271878
"25",1,690615,0.00113537902271878
"26",1,58719,0.00113537902271878
"27",1,864045,0.00113537902271878
"28",1,376547,0.00113537902271878
"29",1,1080776,0.00113537902271878
"30",1,859444,0.00113537902271878
"31",1,1012443,0.00113537902271878
"32",1,1080829,0.00113537902271878
"33",1,651897,0.00113537902271878
"34",1,1080775,0.00113537902271878
"35",1,21627,0.00113537902271878
"36",1,839379,0.00113537902271878
"37",1,978301,0.00113537902271878
"38",1,495399,0.00113537902271878
"39",1,655427,0.00113537902271878
"40",1,747986,0.00113537902271878
"41",1,980685,0.00113537902271878
"42",1,941999,0.00113537902271878
"43",1,861150,0.00113537902271878
"44",1,977790,0.00113537902271878
"45",1,998368,0.00113537902271878
"46",1,976258,0.00113537902271878
"47",1,387161,0.00113537902271878
"48",1,868024,0.00113537902271878
"49",1,92458,0.00113537902271878
"50",1,613736,0.00113537902271878
"51",1,847050,0.00113537902271878
"52",1,634239,0.00113537902271878
"53",1,1010827,0.00113537902271878
"54",1,1080878,0.00113537902271878
"55",1,665958,0.00113537902271878
"56",1,754530,0.00113537902271878
"57",1,936555,0.00113537902271878
"58",1,936549,0.00113537902271878
"59",1,751730,0.00113537902271878
"60",1,455062,0.00113537902271878
"61",1,455058,0.00113537902271878
"62",1,613665,0.00113537902271878
"63",1,456359,0.00113537902271878
